"sigma.hat","GARCH","Frequency","MSE","QLIKE"
0.0164831743934343,"sGARCH","Day",7.21432125483145e-08,-8.1994198914319
0.0160142266432373,"sGARCH","Day",6.24146685629539e-08,-8.24271804075133
0.0155354779422906,"sGARCH","Day",5.81547054568692e-08,-8.32843670079964
0.0151018741239497,"sGARCH","Day",5.15138268778998e-08,-8.38104959313029
0.0146371582434446,"sGARCH","Day",4.07551779018625e-08,-8.39065921271597
0.0142056023038724,"sGARCH","Day",1.859919881021e-08,-8.18405270759099
0.0139397862388313,"sGARCH","Day",3.26541321783949e-08,-8.47596051976776
0.0135426618822045,"sGARCH","Day",2.33239873499876e-08,-6.77111174187667
0.0138310031473714,"sGARCH","Day",3.44684516693582e-08,-8.53220305327389
0.0134315040482018,"sGARCH","Day",3.02024594103305e-08,-8.58362741205124
0.0130518791784927,"sGARCH","Day",4.88012909192799e-08,-6.38085657543597
0.0135162476953688,"sGARCH","Day",3.24321508201394e-08,-8.59349555589309
0.013099007962814,"sGARCH","Day",6.37310149473929e-09,-7.20517446455746
0.0132386207362163,"sGARCH","Day",3.06989603890204e-08,-8.64894914889329
0.0128819454877979,"sGARCH","Day",1.40112167781547e-08,-8.41716162437888
0.0125780258333404,"sGARCH","Day",2.45168224056305e-08,-8.74131604072546
0.0122124151781751,"sGARCH","Day",1.27974851904002e-08,-8.5691107227613
0.011950636009726,"sGARCH","Day",7.90045624146728e-09,-8.47630496378201
0.0117155273070654,"sGARCH","Day",1.84005049326306e-08,-8.88198584081742
0.0113416175469643,"sGARCH","Day",1.45145321819383e-08,-8.89514703112517
0.0110118272994585,"sGARCH","Day",1.03420756202287e-08,-8.85622909149744
0.0107152801454557,"sGARCH","Day",2.5020203871874e-08,-6.6945207054776
0.0111296323744291,"sGARCH","Day",1.32758938186327e-08,-8.92647524785452
0.0107889112520484,"sGARCH","Day",1.07703197029334e-08,-8.950050226368
0.0104765249702123,"sGARCH","Day",4.4934860337225e-10,-8.31036979801317
0.0103956002722898,"sGARCH","Day",4.33927161990929e-08,-6.20517915034237
0.0109851644839819,"sGARCH","Day",1.32601674269309e-08,-8.97666745699833
0.0106839684710148,"sGARCH","Day",8.46286264514417e-09,-8.88394468492845
0.0103911357056125,"sGARCH","Day",6.44560783413827e-11,-8.20795861315891
0.0103756178453468,"sGARCH","Day",1.13909784436031e-08,-9.12800169424576
0.0100715957366469,"sGARCH","Day",9.76802250882108e-09,-9.17040376714403
0.00975435072824645,"sGARCH","Day",2.16793751637098e-10,-8.10533515926694
0.009790505783635,"sGARCH","Day",9.07629461080596e-09,-9.24658739898217
0.0095134024456971,"sGARCH","Day",1.4164983214203e-09,-8.72595698724569
0.00936926475667457,"sGARCH","Day",3.45510366722773e-08,-6.22316032528575
0.00994091079512936,"sGARCH","Day",8.91004594817042e-09,-9.17737854072901
0.00967644760283884,"sGARCH","Day",1.70797651928770e-09,-7.83474451616939
0.00980454163563934,"sGARCH","Day",2.37056480453128e-09,-8.75630966248372
0.00964227304216697,"sGARCH","Day",6.88577020627588e-09,-9.17571569117199
0.00937864052068475,"sGARCH","Day",3.52908322551597e-09,-9.01402554664914
0.00921323754216277,"sGARCH","Day",7.18356956671687e-09,-9.37272228626101
0.00892174429421702,"sGARCH","Day",4.7337908586481e-10,-8.16518647295941
